name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
ALKALINE WATER CO INC,2016.0,Q2,-766310.0,857835.0,,0.5520835029554965,-0.8933069879405713
"ALKAME HOLDINGS, INC.",2015.0,Q2,,69820.0,,,
"ALKAME HOLDINGS, INC.",2015.0,Q3,,6665.0,,-0.9045402463477513,
ALL AMERICAN SPORTPARK INC,2015.0,FY,705327.0,2131959.0,,,0.3308351614641745
ALLEGHANY CORP /DE,2015.0,FY,628421000.0,4971654000.0,,,0.12640079136641447
ALLEGHENY TECHNOLOGIES INC,2015.0,FY,154000000.0,,,,
"ALLEGIANCE BANCSHARES, INC.",2015.0,FY,6839000.0,,,,
ALLEGIANT TRAVEL CO,2015.0,FY,92273000.0,996150000.0,,,0.09262962405260251
ALLEGION PLC,2015.0,FY,32300000.0,,,,
ALLERGAN PLC,2015.0,FY,-750400000.0,2602500000.0,,,-0.28833813640730066
ALLETE INC,2015.0,FY,104700000.0,1018400000.0,,,0.10280832678711704
ALLIANCE DATA SYSTEMS CORP,2015.0,FY,,4319063000.0,,,
ALLIANCE FIBER OPTIC PRODUCTS INC,2015.0,FY,18808000.0,76070000.0,,,0.2472459576705666
"ALLIANCE HEALTHCARE SERVICES, INC",2015.0,FY,-21483000.0,448831000.0,,,-0.04786434092119306
"ALLIANCE HOLDINGS GP, L.P.",2015.0,FY,233873000.0,,,,
ALLIANCE RESOURCE PARTNERS LP,2015.0,FY,393490000.0,,,,
ALLIANCEBERNSTEIN HOLDING L.P.,2015.0,FY,165502000.0,,,,
ALLIANCEBERNSTEIN L.P.,2015.0,FY,517676000.0,2917971000.0,,,0.17740957672300375
ALLIANT ENERGY CORP,2015.0,FY,376200000.0,3276800000.0,,,0.11480712890625
ALLIED HEALTHCARE PRODUCTS INC,2016.0,Q2,-44750.0,,,,
"ALLIED WORLD ASSURANCE CO HOLDINGS, AG",2015.0,FY,418000000.0,2223000000.0,,,0.18803418803418803
"ALLIQUA BIOMEDICAL, INC.",2015.0,FY,-25445435.0,4786131.0,,,-5.316493635464638
ALLISON TRANSMISSION HOLDINGS INC,2015.0,FY,165400000.0,,,,
ALLOT COMMUNICATIONS LTD.,2015.0,FY,-6457000.0,96545000.0,,,-0.06688072919364027
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",2015.0,FY,-104026000.0,1373061000.0,,,-0.07576211107882315
ALLSTATE CORP,2015.0,FY,2280000000.0,34507000000.0,,,0.06607355029414322
